ORDER,FAMILY,GENUS,SPECIES,NUMB,SNST,STRAT,CNTAB,REL,MIN,QMIN,MAX,MIDPT-ELEV,QMAX,CP,RP,SUB,MICRO,NHAB,NZOO,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,GAN,LAN,BSR,MPL,PAS,MAH,GCS,CDH,CHO,EPC,STP,NAN,CAN,SAN,NSA,TEP,AMN,AMS,CSA,ATL,PAM,PAT
APODIFORMES,TROCHILIDAE,Abeillia,abeillei,1181,M,U/M,UT,U,1000,,1850,850,,3,3,CAH,,2,1,F4,F15,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
GALLIFORMES,CRACIDAE,Aburria,aburri,448,H,C,UT,U,700,,2100,1400,,2,2,,,2,2,F4,F1,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
GALLIFORMES,CRACIDAE,Aburria,jacutinga,450,H,C,LT,R,0,,900,900,,1,1,o,,2,1,F1,F3,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
GALLIFORMES,CRACIDAE,Aburria,pipile,451,H,C,LT,F,0,,900,900,,4,2,,,3,4,F3,F1,F8,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,
GALLIFORMES,CRACIDAE,Aburria,cujubi,449,H,C,LT,F,0,,0,0,,3,2,o,,2,1,F3,F1,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
PASSERIFORMES,EMBERIZINAE,Acanthidops,bairdi,3171,M,T/M,MM,U/P,1500,,3000,1500,,3,2,CHR,B,1,1,F4E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,(striatus) erythronemius,348.51,M,C,MM,F,0,,3500,3500,,4,2,,,4,4,F4,F1,F9,F15,,,,Y,,,Y,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,Y,Y,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,gentilis,345,H,C,UM,R,2100,,3400,1300,,4,2,,,2,1,F10,F11,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,(striatus) striatus,348.52,L,C,US,F,1000,,3100,2100,,4,3,,,2,3,F11,F8,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,,,,,,,,,,,,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,cooperii,344,M,C,US,F,600,,3000,2400,+,4,3,,,3,3,F7,F8,F11,,,,,,,,,,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,(striatus) chionogaster,348.5,M,C,MM,F,500,,3000,2500,,4,3,CAH,,4,1,F10,F11,F4,F7,,,,,,,Y,,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,bicolor,342,M,C,LT,U,0,,2000,2000,,4,2,,,3,9,F7,F8,F1,,,,,Y,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,Y,Y,,Y,Y,Y,Y,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,collaris,343,H,C,UT,R,600,,1800,1200,,3,2,,,1,2,F4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,superciliosus,348,H,C,LT,U,0,,1200,1200,,4,3,,,2,6,F1,F4,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,Y,,Y,Y,,Y,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,gundlachi,346,M,C,LT,R,0,,900,900,+,2,1,CUB,,3,1,F1,F7,F10,,,,,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,poliogaster,347,H,C,LT,R,0,,0,0,,3,1,,,1,5,F1,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,,
APODIFORMES,TROCHILIDAE,Acestrura,heliodor,1433,M,U/C,UT,U,1200,,3000,1800,,4,3,o,,2,1,F4,F15,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
APODIFORMES,TROCHILIDAE,Acestrura,mulsant,1434,M,U/C,MM,F,900,,2800,1900,,4,3,,,2,2,F4E,F15,,,,,,,,,E,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
APODIFORMES,TROCHILIDAE,Acestrura,bombus,1432,?,M/C,UT?,U/P,0,,2150,2150,,3,2,,,3,3,F4E,F1E,F7?,,,,,E,,,E,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,,,,,
APODIFORMES,TROCHILIDAE,Acestrura,berlepschi,1431,?,C,LT,?,0,,0,0,,2,1,o,,1,1,F1E?,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,
PASSERIFORMES,RHINOCRYPTIDAE,Acropternis,orthonyx,2280,H,T/U,UM,U/P,2250,,3300,1050,,4,3,,B,2,2,F4,F5,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
APODIFORMES,TROCHILIDAE,Adelomyia,melanogenys,1297,M,U,MM,F,1100,,2300,1200,,4,3,,,1,3,F4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,
PODICIPEDIFORMES,PODICIPEDIDAE,Aechmophorus,clarkii,81,M,W,MM,C/P,750,,2500,1750,,4,2,,,1,1,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
PODICIPEDIFORMES,PODICIPEDIDAE,Aechmophorus,occidentalis,82,M,W,MM,C/P,750,,2500,1750,+,4,2,,,1,1,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Aegolius,ridgwayi,1033,M,C,UM,U,1600,,3300,1700,,4,2,,,2,2,F4,F11,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Aegolius,acadicus,1031,M,C,MM,U,1900,,3100,1200,,4,2,,,2,1,F11,F10,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Aegolius,harrisii,1032,H,C,UM,U/P,1600,,3100,1500,,4,2,,,3,5,F4,F5,F7,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,,,Y,Y,,
APODIFORMES,APODIDAE,Aeronautes,andecolus,1105,L,A,UM,F,2000,,3900,1900,,4,3,,R,2,2,N2,N3,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,
APODIFORMES,APODIDAE,Aeronautes,saxatalis,1107,L,A,MM,C,1200,,2800,1600,,4,3,,R,3,3,N2,F11,N14,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,
APODIFORMES,APODIDAE,Aeronautes,montivagus,1106,M,A,MM,F/P,500,,2600,2100,,4,3,,R,3,3,F4,F15,F1,,,,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,
APODIFORMES,APODIDAE,Aerornis,senex,1092,M,A,LT,F/P,0,,1000,1000,+,3,1,,R,3,2,F1,F9,N14,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
CICONIIFORMES,ARDEIDAE,Agamia,agami,215,M,T,LT,U/P,0,,600,600,,4,2,,,4,6,F2,F8,A6,A9,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,Y,,Y,,,,,,Y,,Y,Y,Y,,,
PASSERIFORMES,ICTERIDAE,Agelaius,thilius,3901,M,T/U,LS,C,0,,4300,4300,,4,3,,,3,6,A1,A2,N13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,Y,,Y,Y
PASSERIFORMES,ICTERIDAE,Agelaius,phoeniceus,3899,L,T/M,MM,C,0,,3000,3000,+,4,3,,,3,6,A1,A2,N11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,
PASSERIFORMES,ICTERIDAE,Agelaius,humeralis,3897,L,T/M,LT,F,0,,900,900,,4,2,o,,3,1,N1,N13,N14,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
PASSERIFORMES,ICTERIDAE,Agelaius,ruficapillus,3900,L,T/U,LT,C,0,,850,850,,4,3,,,2,5,N13,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,
PASSERIFORMES,ICTERIDAE,Agelaius,xanthophthalmus,3904,H,U,LT,U/P,0,,750,750,,4,2,o,,1,1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
PASSERIFORMES,ICTERIDAE,Agelaius,icterocephalus,3898,M,U,LT,C,0,,600,600,,4,3,,,1,3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,
PASSERIFORMES,ICTERIDAE,Agelaius,cyanopus,3896,M,T/U,LT,F/P,0,,0,0,,4,3,,,1,4,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,
PASSERIFORMES,ICTERIDAE,Agelaius,tricolor,3902,L,T/M,LS,F,0,,0,0,,4,3,,,1,1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,
PASSERIFORMES,ICTERIDAE,Agelaius,xanthomus,3903,L,T/M,LT,R,0,,0,0,,2,1,PUE,,4,1,F14,N1,N13,N11,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
APODIFORMES,TROCHILIDAE,Aglaeactis,cupripennis,1326,M,U/C,UM,C/P,2800,,4300,1500,,4,3,,,3,2,N3,F6,F5,,,,,,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
APODIFORMES,TROCHILIDAE,Aglaeactis,castelnaudii,1325,M,U/C,UM,C/P,3100,,4200,1100,,3,3,MTC,,2,1,N3,F5,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
APODIFORMES,TROCHILIDAE,Aglaeactis,pamela,1327,M,U/C,UM,U/P,3000,,3500,500,,3,3,COC,,2,1,N3,F5,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
APODIFORMES,TROCHILIDAE,Aglaeactis,aliciae,1324,M,U/C,UM,R?,3000,,3200,200,,2,1,MAR,,1,1,N3,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
APODIFORMES,TROCHILIDAE,Aglaiocercus,kingi,1394,M,M/C,MM,F,1300,,2600,1300,,4,3,,,1,2,F4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
APODIFORMES,TROCHILIDAE,Aglaiocercus,coelestis,1393,M,M/C,UT,F,900,,2100,1200,,4,3,WES,,1,1,F4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
GALLIFORMES,PHASIANIDAE,Agriocharis,ocellata,472,M,T,LT,R,0,,0,0,,2,1,YUC,,2,1,F1E,F7,,,,,,E,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Agriornis,andicola,2572,L,T/U,UM,U,3000,,4500,1500,,3,2,,,2,2,N2,N9,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Agriornis,microptera,2574,L,T/U,UM,U,0,,4000,4000,,4,3,,,3,3,N2,N1,N9,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,Y
PASSERIFORMES,TYRANNIDAE,Agriornis,montana,2575,L,T/U,UM,U,1800,,4000,2200,+,4,3,,,3,4,N2,N9,N13,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,Y
PASSERIFORMES,TYRANNIDAE,Agriornis,murina,2575.5,M,T/U,LS,F,0,,2000,2000,,4,3,o,,1,1,N1,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
PASSERIFORMES,TYRANNIDAE,Agriornis,livida,2573,L,T/U,LS,U,0,,1800,1800,,4,3,,,3,3,N2,N1,N13,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,Y
PASSERIFORMES,EMBERIZINAE,Aimophila,rufescens,3148,L,T,UT,F,600,,2700,2100,,4,3,,,3,3,N2,F11,F7,,,,,,,,,,,Y,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,(botterii) botterii,3141,L,T,UT,F/P,0,,2400,2400,,4,2,,,1,4,N8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,ruficeps,3150,M,T,US,C,0,,2400,2400,,4,3,,R,2,3,N2,N1,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,cassinii,3144,L,T,UT,C,0,,2200,2200,,4,2,,,2,3,N8,N1,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,ruficauda,3149,L,T,LT,F,0,,2000,2000,,4,3,,,3,2,N1,N2,F7,,,,,,,,,,,Y,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,mystacalis,3146,M,T,UT,F,900,,1900,1000,,4,3,SMH,,1,1,N2,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,notosticta,3147,M,T,MM,R,1500,,1900,400,,2,1,SMH,,1,1,N2,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,quinquestriata,3147.01,M,T,UT,F/P,500,,1850,1350,,4,3,,R,1,3,N2,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,(botterii) petenica,3142,M,T,LT,U,0,,1600,1600,,4,2,,,2,2,N8,F10,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,carpalis,3143,M,T,UT,F/P,0,,1500,1500,,4,2,,,1,2,N1,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,humeralis,3145,M,T,UT,F,0,,1500,1500,,4,3,,,2,2,N1,N2,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,stolzmanni,3151,M,T,LT,F,0,,1200,1200,,4,3,MAN,,2,1,N1,F7,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,strigiceps,3152,M,T,LT,U,0,,1000,1000,,4,3,CHA,,2,1,F7,N1,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
PASSERIFORMES,EMBERIZINAE,Aimophila,sumichrasti,3153,M,T,LT,F,0,,950,950,,4,3,SIN,,2,1,N1,F7E,,,,,,,,,,,,E,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
ANSERIFORMES,ANATIDAE,Aix,sponsa,265,M,W,LT,U,0,,900,900,+,3,2,,,2,1,A6,A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,
CICONIIFORMES,THRESKIORNITHIDAE,Ajaia,ajaja,231,M,W,LT,F,0,,800,800,,4,2,,,2,11,A1,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,Y,,,,Y,,Y,,Y,Y,,,,,Y,,Y,Y,Y,Y,Y,
PASSERIFORMES,TYRANNIDAE,Alectrurus,risorus,2609,M,U,LT,U/P,0,,1200,1200,,2,1,,,2,2,N6,N7,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,
PASSERIFORMES,TYRANNIDAE,Alectrurus,tricolor,2610,H,U,HT,U/P,0,,1200,1200,,2,1,CER,,2,1,N5,N6,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
PASSERIFORMES,MIMIDAE,Allenia,fusca,3005,L,U/C,LT,C,0,,900,900,+,4,3,o,,4,1,N1,F1,F7,F15,,,,Y,,,,,,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
PASSERIFORMES,HIRUNDINIDAE,Alopochelidon,fucata,2863,M,A,LS,U/P,0,,1600,1600,,3,2,,,2,6,N5,N6,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,Q,Y,Y,Y,
GRUIFORMES,RALLIDAE,Amaurolimnas,concolor,527,M,T,LT,R/P,0,,1000,1000,,4,2,,,3,6,F8,F15,F2,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,Y,Y,Y,Y,,
PASSERIFORMES,EMBERIZINAE,Amaurospiza,concolor,3260,M?,U/M,UT,R/P,1000,,2200,1200,,3,1,,B,2,3,F4E,F15,,,,,,,,,E,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,,,,,,,,,
PASSERIFORMES,EMBERIZINAE,Amaurospiza,moesta,3261,M,U/M,UT,R/P,0,,1600,1600,,2,1,SOU,B,2,1,F4,F1,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
APODIFORMES,TROCHILIDAE,Amazilia,chionogaster,1254,L,U/C,MM,C,0,,2800,2800,,4,3,,,4,3,N3,F4E,F15,N1,,,,,,,E,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Y,,,
APODIFORMES,TROCHILIDAE,Amazilia,viridicauda,1274,L,U/C,MM,F,900,,2800,1900,,4,3,o,,2,1,F4E,F15,,,,,,,,,E,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,beryllina,1250,M,M/C,MM,F,600,,2200,1600,,4,2,,,4,2,F11,F10,F7,F15,,,,,,,,,,Y,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,violiceps,1273,M,U/C,UT,F,0,,2200,2200,,4,3,,,3,2,F7,F8,F15,,,,,,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,viridigaster,1276,L,U/M,HT,F,0,,2100,2100,,4,3,,,4,3,F4E,F1E,F15,F7?,,,,E,,,E,,,Q,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,castaneiventris,1253,?,?,UT,?,850,,2050,1200,,2,1,EAS,,1,1,F1E?,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,cyanifrons,1256,L,M/C,UT,F,400,,2000,1600,,4,3,,,3,3,F15,F4E?,F1E?,,,,,E,,,E,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,Y,,,Y,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,franciae,1263,L,U/C,UT,F,900,,2000,1100,,4,3,,,3,2,F4E,F7,F15,,,,,,,,E,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,saucerrottei,1269,L,U/C,LT,C,0,,2000,2000,,4,3,,,4,2,F1E,F8E,F15,N14,,,,E,,,,,,,E,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,cyanocephala,1257,M,M/C,UT,F,600,,1800,1200,+,3,3,,,3,2,F11,F10,F4,,,,,,,,Y,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,edward,1261,L,U/C,HT,F,0,,1800,1800,,4,3,,,3,2,F1E,F4E,F15,,,,,E,,,E,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,tobaci,1270,L,U/C,LT,C,0,,1800,1800,,4,3,o,,6,1,F1E,F4?,F7,F15,F8,F14,,E,,,Q,,,Y,Y,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,tzacatl,1271,L,U/C,LT,C,0,,1800,1800,,4,3,,,3,4,F1E,F15,F7,,,,,E,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,,,Y,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,candida,1252,M,U/C,LT,C,0,,1600,1600,,4,3,,,2,2,F1,F7,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,
APODIFORMES,TROCHILIDAE,Amazilia,rutila,1268,L,U/C,LT,C,0,,1600,1600,,4,3,,,4,2,F7,F15,F8,N1,,,,,,,,,,Y,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,
