ORDER,FAMILY,GENUS,SPECIES,NUMB,SNST,STRAT,CNTAB,REL,MIN,QMIN,MAX,MIDPT-ELEV,QMAX,CP,RP,SUB,MICRO,NHAB,NZOO,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,GAN,LAN,BSR,MPL,PAS,MAH,GCS,CDH,CHO,EPC,STP,NAN,CAN,SAN,NSA,TEP,AMN,AMS,CSA,ATL,PAM,PAT
PASSERIFORMES,TURDINAE,Myadestes,obscurus,3014,H,M/C,MM,C,900,,3050,2150,,4,3,,,3,2,F11,F4,F1,,,,,Y,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
PASSERIFORMES,TURDINAE,Myadestes,ralloides,3015,M,M/C,MM,C,800,,2900,2100,,4,3,,,2,2,F4,F15,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
PASSERIFORMES,TURDINAE,Myadestes,melanops,3013,M,M/C,MM,C,900,,2800,1900,,4,3,CHR,,1,1,F4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
PASSERIFORMES,TURDINAE,Myadestes,unicolor,3017,M,M/C,UT,F,800,,2500,1700,,3,3,o,,2,1,F4,F11,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
PASSERIFORMES,TURDINAE,Myadestes,coloratus,3009,M,M/C,UT,F,800,,2200,1400,,3,3,TAC,,1,1,F4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
PASSERIFORMES,TURDINAE,Myadestes,elisabeth,3010,M,C,UT?,F,0,,2000,2000,+,4,3,CUB,,2,1,F10,F1,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
PASSERIFORMES,TURDINAE,Myadestes,genibarbis,3011,H,C,HT,F,0,,1800,1800,+,4,2,,,2,2,F1,F4,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
PASSERIFORMES,TURDINAE,Myadestes,leucogenys,3012,H,M/C,UT,U/P,550,,1400,850,,3,2,,,2,4,F1,F4,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,Y,,
CICONIIFORMES,CICONIIDAE,Mycteria,americana,216,L,T/W,LT,F,0,,800,800,,4,2,,,3,11,A1,A2,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,,,,,,Y,,Q,,Y,,Y,,,Y,,,,,Y,,Y,Y,Y,Y,Y,
PASSERIFORMES,TYRANNIDAE,Myiarchus,tuberculifer,2651,L,M/C,LT,C,0,,3400,3400,,4,3,,,5,13,F4,F1,F7,F11,F15,,,Y,,,Y,,,Y,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,Y,,,Y,Y,,Y,,Y,Y,Y,Y,,
